content
107,"Cuma aplikasi ini yg bikin gue cepet dapet kerjaan,, banyak bgt lokernya dan sesuai bgt..apalagi skrg udah ada fitur jarak, jdi lebih gampang cari kerjaan yang Deket dari rumah..thank you jobstreet..."
108,"Sangat membantu pelamar kerja dan perusahaan yang membutuhkan karyawan baru. Tapi tetap hati hati.. kadang ada perusahaan yang palsu dan merespos dengan memberi email undangan test, dengan iming iming gaji dan fasilitas akomodasi test yang tidak wajar. Tapi ujung ujungnya minta kita yang bayar tiket pesawat dulu."
109,"Aplikasi nya bermanfaat bangettt!! Fitur2 di jobstreet juga lengkap, kita bisa search job by daerah, kontrak kerja (part time,full time,etc), klasifikasi kerjaan smpai bisa ngatur rata2 mau gaji nya brapa jugaa... pokoknya satu aplikasi udah lengkap pake banget! Apalagi buat aku lulusan SMK dan butuh info loker yg gercep, jobstreet ini sering banget ngasih info2 loker via notif/gmail, dan yg paling aku suka itu notif info loker yg muncul itu pasti berhub sama kerjaan yg aku pingin!! 1000/10 🤩"
110,"Hi Jobstreet, Sy tuh bingung dengan filter kalian baik Job scope/Role maupun salary, contoh : 1. Filter gaji diatas nominilal tertentu, masih ada yg nyangkut dibawah nominal yg kita set filternya. 2. Filter role supply chain, ada kerjaan IT yg masuk. Jadi filter kalian itu based on apa?"
111,"Beberapa perusahaan tempat bernaung semuanya apply via jobstreet. Namun to be honest jobstreet versi tahun 2022 kebawah lebih nyaman digunakan krn fitur yg memang dibutuhkan oleh jobseeker (menurut sy) optimal, mulai dr info mengenai berkisar gaji yang diharapkan, jenis industri perusahaan, IPK, dsb yg menjadi salah satu poin penting dalam perekrutan"
112,Maaf min sebelum nya saya hanya menyarankan kalo kasih lowongan yang bener dong saya dapet dari aplikasi ini ko malah masuk ke perumahan..jadi tolong lah bagi admin kalo ada perusahan yang ingin daftar di aplikasi ini tolong tanya secara detail dong ke banyakan perusahaan bodong tolong di teliti lagi 🙏
113,"Aplikasi jobstreet ini benar-benar membantu dalam mencari pekerjaan, saya sudah mengunakan aplikasi ini kurang lebih 7 tahun, dan sudah berhasil bekerja diperusahaan sehingga menjadikan pengalaman yang luar biasa. Sekarang giliran anda"
114,Terimaksih jobstreet selalu cepat dalam informasi lowongan kerja dan hasil yg di peroleh
115,makin jelek aja sie tiba tiba suka keluar sendiri
116,Aplikasi pencari kerja ini sangat membantu saya untuk mencari kerja dengan mudah dan menggunakan aplikasinya juga sangat amat mudah bisa juga mencari pekerjaan yang dekat rumah
117,"Semenjak di update sumpah jelek banget, banyak loker bodong juga. Beda jobstreet yang dulu. Ketersediaan loker walaupun hanya beberapa tapi real dan selalu dapat panggilan. Sekarang loker banyak tapi fake. Kalah sama aplikasi Kita lulus dah nih 😭. Kembalikan JOB STREET yang dulu"
118,"Setiap kali mau melamar kenapa selalu diarahkan ke chrome dan saat di chrome diarahkan untuk login ke aplikasi lain macam jora dan jobstreet express, ini aplikasi beneran isinya loker atau clickbait?"
119,"Aneh sama loker di jobstreet, baru aja di update terus kalau udh kekirim ada pemberitahuan di email "" lamaran yang anda apply kadaluwarsa"" heran baru aja di s update udh expire aja."
120,Saya mendapatkan pekerjaan lewat apk ini dan real. Thank jobstreet.
121,"Aplikasi pencarian pekerjaan Keren banget ini, simpel & sangat mudah cara melamarnya. Thanks developer."
122,Apk yang sangat canggih mudah bagi kami untuk mendapatkan pekerjaan dengan lebih mudah dan smua ada di sini keren si baru tau ada apk sebagus ini si ayu coba sekarang juga broo...
123,"Selama saya menggunakan aplikasi ini, saya tidak pernah mendapatkan pekerjaan satu pun, padahal saya sudah melamar 100 lebih lamaran keberbagai perusaaan, tp hasilnya selalu nol"
124,Aplikasi nge bug mulu kntl. Bikin kesel orang lagi cari kerja aja.
125,Keyword yg di cari apa tapi lowongan yang tidak sesuai dengan keyword ikut keluar JD mempersulit kita mencari pekerjaan yg relevan.
126,"sudah 5 bulan coba cari lowongan pekerjaan lewat aplikasi ini tapi masih belum dapat,tolong dong min aplikasinya lebih di tingkatkan lagi dan di perluas,terima kasih🙏"
127,Aplikasi yg sesuai dengan ekspektasi saya dari perusahaan yg di rekomendasikan sangat berkualitas dan feedback dari perusahaan nya pun sangan fast responsif.saya senang menggunakan jonstreet karena sangat membantu saya.congratulation i proude to you
